Message,Time,Longitude,Latitude,NR_Scan_NR_ARFCN,NR_Scan_PCI_SortedBy_RSRP_0,NR_Scan_PCI_SortedBy_RSRP_1,NR_Scan_PCI_SortedBy_RSRP_2,NR_Scan_PCI_SortedBy_RSRP_3,NR_Scan_PCI_SortedBy_RSRP_4,NR_Scan_PCI_SortedBy_RSRP_5,NR_Scan_PCI_SortedBy_RSRP_6,,NR_Scan_SSB_RSRP_SortedBy_RSRP_0,NR_Scan_SSB_RSRP_SortedBy_RSRP_1,NR_Scan_SSB_RSRP_SortedBy_RSRP_2,NR_Scan_SSB_RSRP_SortedBy_RSRP_3,NR_Scan_SSB_RSRP_SortedBy_RSRP_4,NR_Scan_SSB_RSRP_SortedBy_RSRP_5,NR_Scan_SSB_RSRP_SortedBy_RSRP_6,,NR_Scan_SSB_RSRQ_SortedBy_RSRP_0,NR_Scan_SSB_RSRQ_SortedBy_RSRP_1,NR_Scan_SSB_RSRQ_SortedBy_RSRP_2,NR_Scan_SSB_RSRQ_SortedBy_RSRP_3,NR_Scan_SSB_RSRQ_SortedBy_RSRP_4,NR_Scan_SSB_RSRQ_SortedBy_RSRP_5,NR_Scan_SSB_RSRQ_SortedBy_RSRP_6,,NR_Scan_SSB_SINR_SortedBy_RSRP_0,NR_Scan_SSB_SINR_SortedBy_RSRP_1,NR_Scan_SSB_SINR_SortedBy_RSRP_2,NR_Scan_SSB_SINR_SortedBy_RSRP_3,NR_Scan_SSB_SINR_SortedBy_RSRP_4,NR_Scan_SSB_SINR_SortedBy_RSRP_5,NR_Scan_SSB_SINR_SortedBy_RSRP_6
0,03/14/2025 12:14:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,03/14/2025 12:14:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,03/14/2025 12:14:32,29.02949,41.10723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,03/14/2025 12:14:32,29.02949,41.10723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,03/14/2025 12:14:32,29.02949,41.10723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,03/14/2025 12:14:32,29.02949,41.10723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,03/14/2025 12:14:32,29.02949,41.10723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,03/14/2025 12:14:32,29.02949,41.10723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,03/14/2025 12:14:32,29.02949,41.10723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,03/14/2025 12:14:32,29.02949,41.10723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,03/14/2025 12:14:32,29.02949,41.10723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,03/14/2025 12:14:32,29.02949,41.10723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,03/14/2025 12:14:32,29.02949,41.10723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,03/14/2025 12:14:34,29.02949,41.10723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,03/14/2025 12:14:34,29.02949,41.10723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,03/14/2025 12:14:35,29.02949,41.10723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,03/14/2025 12:14:35,29.02949,41.10723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,03/14/2025 12:14:35,29.02949,41.10723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,03/14/2025 12:14:35,29.02949,41.10723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,03/14/2025 12:14:36,29.02949,41.10723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,03/14/2025 12:14:36,29.02949,41.10723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,03/14/2025 12:14:36,29.02949,41.10723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,03/14/2025 12:14:36,29.02949,41.10723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,03/14/2025 12:14:36,29.02949,41.10723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,03/14/2025 12:14:37,29.02949,41.10723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,03/14/2025 12:14:37,29.02949,41.10723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,03/14/2025 12:14:37,29.02949,41.10723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,03/14/2025 12:14:37,29.02949,41.10723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,03/14/2025 12:14:37,29.02949,41.10723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,03/14/2025 12:14:37,29.02949,41.10723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,03/14/2025 12:14:37,29.02949,41.10723,640704,48,,,,,,,,-82.98,,,,,,,,-11.62,,,,,,,,5.8,,,,,,
31,03/14/2025 12:14:38,29.02949,41.10723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,03/14/2025 12:14:38,29.02949,41.10723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,03/14/2025 12:14:38,29.02949,41.10723,640704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,03/14/2025 12:14:38,29.02949,41.10723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,03/14/2025 12:14:38,29.02949,41.10723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,03/14/2025 12:14:38,29.02949,41.10723,640704,48,76,,,,,,,-78.11,-96.24,,,,,,,-10.77,-28.9,,,,,,,14.31,-18.22,,,,,
37,03/14/2025 12:14:38,29.02949,41.10723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,03/14/2025 12:14:38,29.02949,41.10723,640704,48,,,,,,,,-81.01,,,,,,,,-10.92,,,,,,,,11.23,,,,,,
39,03/14/2025 12:14:38,29.02949,41.10723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,03/14/2025 12:14:38,29.02949,41.10723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,03/14/2025 12:14:38,29.02949,41.10723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,03/14/2025 12:14:38,29.02949,41.10723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,03/14/2025 12:14:38,29.02949,41.10723,640704,48,,,,,,,,-79.17,,,,,,,,-10.87,,,,,,,,12.03,,,,,,
44,03/14/2025 12:14:38,29.02949,41.10723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,03/14/2025 12:14:38,29.02949,41.10723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,03/14/2025 12:14:39,29.02949,41.10723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,03/14/2025 12:14:39,29.02949,41.10723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,03/14/2025 12:14:39,29.02949,41.10723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,03/14/2025 12:14:39,29.02949,41.10723,640704,48,,,,,,,,-85.26,,,,,,,,-12.11,,,,,,,,3.85,,,,,,
50,03/14/2025 12:14:39,29.02949,41.10723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,03/14/2025 12:14:39,29.02949,41.10723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,03/14/2025 12:14:39,29.02949,41.10723,640704,48,,,,,,,,-80.81,,,,,,,,-10.96,,,,,,,,10.71,,,,,,
53,03/14/2025 12:14:39,29.02949,41.10723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,03/14/2025 12:14:39,29.02949,41.10723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,03/14/2025 12:14:39,29.02949,41.10723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,03/14/2025 12:14:39,29.02949,41.10723,640704,48,,,,,,,,-83.93,,,,,,,,-11.34,,,,,,,,7.35,,,,,,
57,03/14/2025 12:14:39,29.02949,41.10723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,03/14/2025 12:14:39,29.02949,41.10723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,03/14/2025 12:14:40,29.02949,41.10723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,03/14/2025 12:14:40,29.02949,41.10723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
