Message,Time,Longitude,Latitude,Technology_Mode,NR_UE_PCI_0,NR_UE_RSRP_0,NR_UE_RSRQ_0,NR_UE_SINR_0,NR_UE_Nbr_PCI_0,NR_UE_Nbr_PCI_1,NR_UE_Nbr_PCI_2,NR_UE_Nbr_PCI_3,NR_UE_Nbr_PCI_4,NR_UE_Nbr_RSRP_0,NR_UE_Nbr_RSRP_1,NR_UE_Nbr_RSRP_2,NR_UE_Nbr_RSRP_3,NR_UE_Nbr_RSRP_4,NR_UE_Nbr_RSRQ_0,NR_UE_Nbr_RSRQ_1,NR_UE_Nbr_RSRQ_2,NR_UE_Nbr_RSRQ_3,NR_UE_Nbr_RSRQ_4,NR_UE_Timing_Advance,NR_UE_Pathloss_DL_0,NR_UE_Throughput_PDCP_DL,App_Throughput_DL,NR_UE_NACK_Rate_DL_0,NR_UE_Ack_As_Nack_DL_0,NR_UE_MCS_DL_0,NR_UE_RB_Num_DL_0,NR_UE_Modulation_Avg_DL_0,NR_UE_RI_DL_0,NR_UE_BLER_DL_0,NR_UE_CCE_AggregationLev_0,NR_UE_Power_Tx_PUSCH_0,NR_UE_Power_Tx_PRACH_0,NR_UE_NACK_Rate_UL_0,NR_UE_RACH_Attempt,NR_UE_RACH_OK,NR_UE_RACH_Fail,NR_UE_RACH_Procedure_Count,NR_UE_RRCReEstAttempt,NR_UE_RRCReEstFail,NR_UE_RRCReEst_EndResult,NR_UE_RRCConnectionAttempt,NR_UE_RRCConnectionSetupOk,Unnamed: 48,NR_UE_RRCConnectionComplete,NR_UE_RRCConnectionDrop,NR_UE_RRCHOAttempt,NR_UE_RRCHOOK,NR_RRC_MsgType,NAS_5GS_MM_MessageType,NAS_5GS_SM_MessageType,Time_Numeric
0,2025-03-14 12:14:33,,,5GSA,48,-86.0476076468219,-11.2565360371204,7.12606317766444,76,,,,,-97.3,,,,,-16.3,,,,,,101.222615610238,149.54229699535,11.390576369637,83.4872305472305,,,,,,83.4872305472305,,17.5,,0,0,0,0,,0,0,,0,0,,0,0,0,0,,,,1741954473.127
2,2025-03-14 12:14:33,29.02949,41.10723,5GSA,48,-86.7142857142857,-11.1714285714286,7.24285714285714,76,,,,,-97.3,,,,,-16.3,,,,,,101.241178568615,4417.90950693521,1645.1899253985,75.1905844155844,,,,,,75.1905844155844,,17.5,,0.031441884280594,0,0,0,,0,0,,0,0,,0,0,0,0,,,,1741954473.444
3,2025-03-14 12:14:33,29.02949,41.10723,5GSA,48,-86.9071428571429,-11.1857142857143,7.27142857142857,76,,,,,-97.3,,,,,-16.3,,,,,,101.257208963752,4456.20397494867,1715.66911668562,74.5965103415103,,,,,,74.5965103415104,,17.5,,0.0325709165386585,0,0,0,,0,0,,0,0,,0,0,0,0,,,,1741954473.444
4,2025-03-14 12:14:33,29.02949,41.10723,5GSA,48,-86.0476076468219,-11.1176625116804,7.12606317766444,76,,,,,-97.3,,,,,-16.3,,,,,,101.222615610238,149.54229699535,11.390576369637,83.4872305472305,,,,,,83.4872305472305,,17.5,,0,0,0,0,,0,0,,0,0,,0,0,0,0,,,,1741954473.444
5,2025-03-14 12:14:33,29.02949,41.10723,5GSA,48,-86.0476076468219,-11.1176625116804,7.12606317766444,76,,,,,-97.3,,,,,-16.3,,,,,,101.222615610238,149.54229699535,11.390576369637,83.4872305472305,,,,,,83.4872305472305,,17.5,,0,0,0,0,,0,0,,0,0,,0,0,0,0,,,,1741954473.444
1,2025-03-14 12:14:33,,,5GSA,48,-87.1,-11.2,7.3,76,,,,,-97.3,,,,,-16.3,,,,,,101.257208963752,4456.20397494867,1715.66911668562,74.5965103415103,,,,,,74.5965103415104,,17.5,,0.0325709165386585,0,0,0,,0,0,,0,0,,0,0,0,0,,,,1741954473.444
6,2025-03-14 12:14:34,29.02949,41.10723,5GSA,48,-86.5214285714286,-11.1571428571429,7.21428571428571,76,,,,,-97.3,,,,,-16.3,,,,,,101.241178568615,3568.39424223102,902.94814118286,75.1905844155844,,,,,,75.1905844155844,,17.5,,0.0110046082949309,0,0,0,,0,0,,0,0,,0,0,0,0,,,,1741954474
7,2025-03-14 12:14:34,29.02949,41.10723,5GSA,48,-86.3285714285714,-11.1428571428571,7.18571428571429,76,,,,,-97.3,,,,,-16.3,,,,,,101.241178568615,153.976393291647,29.1883519471947,83.4872305472305,,,,,,83.4872305472305,,17.5,,0,0,0,0,,0,0,,0,0,,0,0,0,0,,,,1741954474
8,2025-03-14 12:14:34,29.02949,41.10723,5GSA,48,-86.1357142857143,-11.1285714285714,7.15714285714286,76,,,,,-97.3,,,,,-16.3,,,,,,101.222615610238,149.54229699535,11.390576369637,83.4872305472305,,,,,,83.4872305472305,,17.5,,0,0,0,0,,0,0,,0,0,,0,0,0,0,,,,1741954474.013
9,2025-03-14 12:14:34,29.02949,41.10723,5GSA,48,-85.9428571428571,-11.1142857142857,7.12857142857143,76,,,,,-97.3,,,,,-16.3,,,,,,101.222615610238,149.54229699535,11.390576369637,83.4872305472305,,,,,,83.4872305472305,,17.5,,0,0,0,0,,0,0,,0,0,,0,0,0,0,,,,1741954474.013
10,2025-03-14 12:14:34,29.02949,41.10723,5GSA,48,-85.75,-11.1,7.1,76,,,,,-97.3,,,,,-16.3,,,,,,101.165493621608,56.2995863075196,9.61079881188119,83.4872305472305,,,,,,83.4872305472305,,17.5,,0,0,0,0,,0,0,,0,0,,0,0,0,0,,,,1741954474.013
11,2025-03-14 12:14:34,29.02949,41.10723,5GSA,48,-85.5571428571429,-11.0857142857143,7.07142857142857,76,,,,,-97.3,,,,,-16.3,,,,,,100.434418761125,0,0,83.4872305472305,,,,,,83.4872305472305,,17.5,,0,0,0,0,,0,0,,0,0,,0,0,0,0,,,,1741954474.016
12,2025-03-14 12:14:34,29.02949,41.10723,5GSA,48,-84.4969230769231,-11.0276923076923,6.77553191489362,76,,,,,-97.3,,,,,-16.3,,,,,,100.254166666667,0,0,83.4872305472305,,,,,,83.4872305472305,,17.5,,0,0,0,0,,0,0,,0,0,,0,0,0,0,,,,1741954474.03
