true_lat,true_lon,pred_lat,pred_lon,error_m
41.099120,29.026440,41.104457,29.021553,721.027084
41.100190,29.021630,41.104457,29.021553,473.940937
41.105840,29.027810,41.104457,29.021553,547.590992
41.107810,29.025490,41.104457,29.021553,498.021392
41.105500,29.015400,41.104457,29.021553,529.657804
41.106630,29.027640,41.104457,29.021553,565.410210
41.105650,29.020410,41.104457,29.021553,163.593302
41.108020,29.021510,41.104457,29.021553,395.687641
41.102330,29.017860,41.104457,29.021553,389.917011
41.107590,29.022870,41.104457,29.021553,365.088241
41.100300,29.021430,41.104457,29.021553,461.795547
41.107730,29.022630,41.104457,29.021553,374.559673
41.107860,29.025200,41.104457,29.021553,486.489008
41.101730,29.018330,41.104457,29.021553,406.229641
41.106630,29.016100,41.104457,29.021553,517.711326
41.107770,29.024080,41.104457,29.021553,424.761157
41.107730,29.023930,41.104457,29.021553,414.707399
41.107180,29.029170,41.104457,29.021553,707.704876
41.100580,29.021190,41.104457,29.021553,431.661763
41.106290,29.026440,41.104457,29.021553,458.222280
41.101210,29.019310,41.104457,29.021553,406.868154
41.104910,29.024390,41.104457,29.021553,243.580721
41.106930,29.021500,41.104457,29.021553,274.656075
41.099420,29.027210,41.104457,29.021553,734.023605
41.098950,29.025400,41.104457,29.021553,691.746541
41.105180,29.015670,41.104457,29.021553,500.639827
41.105740,29.020700,41.104457,29.021553,159.459241
41.106410,29.027700,41.104457,29.021553,560.066974
41.107990,29.022070,41.104457,29.021553,394.738036
41.107750,29.026190,41.104457,29.021553,534.283407
41.104360,29.020160,41.104457,29.021553,117.492176
41.106630,29.027640,41.104457,29.021553,565.410210
41.105000,29.015840,41.104457,29.021553,483.654337
41.106870,29.027580,41.104457,29.021553,572.828445
41.104360,29.020070,41.104457,29.021553,125.022341
41.100270,29.021470,41.104457,29.021553,465.064028
41.100250,29.021640,41.104457,29.021553,467.290639
41.106020,29.015430,41.104457,29.021553,542.814480
41.105540,29.020140,41.104457,29.021553,168.950487
41.101080,29.019860,41.104457,29.021553,401.108878
41.099270,29.023600,41.104457,29.021553,601.191347
41.106410,29.027700,41.104457,29.021553,560.066974
41.099370,29.023670,41.104457,29.021553,592.297534
41.104710,29.016110,41.104457,29.021553,458.064603
41.107900,29.027050,41.104457,29.021553,599.514002
41.107830,29.020420,41.104457,29.021553,386.467538
41.107570,29.019300,41.104457,29.021553,394.100033
41.105370,29.026620,41.104457,29.021553,437.560973
41.099400,29.023430,41.104457,29.021553,583.350357
41.105340,29.027530,41.104457,29.021553,511.580109
41.107470,29.021880,41.104457,29.021553,335.717762
41.107690,29.023770,41.104457,29.021553,404.457405
41.104760,29.023650,41.104457,29.021553,179.353000
41.104630,29.022410,41.104457,29.021553,74.523182
41.107680,29.023760,41.104457,29.021553,403.084862
41.105720,29.020620,41.104457,29.021553,160.646368
41.105300,29.026630,41.104457,29.021553,436.646223
41.099650,29.027470,41.104457,29.021553,729.452683
41.099960,29.021970,41.104457,29.021553,500.667734
41.105660,29.022760,41.104457,29.021553,167.711997
41.105160,29.026120,41.104457,29.021553,391.514811
41.104530,29.021480,41.104457,29.021553,10.136294
41.107890,29.024610,41.104457,29.021553,459.662602
41.106020,29.015430,41.104457,29.021553,542.814480
41.107210,29.022570,41.104457,29.021553,317.432944
41.106970,29.022510,41.104457,29.021553,290.415942
41.105890,29.026530,41.104457,29.021553,447.350751
41.106350,29.026450,41.104457,29.021553,461.968498
41.107750,29.026190,41.104457,29.021553,534.283407
41.108000,29.027660,41.104457,29.021553,646.513601
41.107230,29.029490,41.104457,29.021553,734.408607
41.105240,29.022860,41.104457,29.021553,140.057394
41.107550,29.022680,41.104457,29.021553,356.287700
41.099940,29.028150,41.104457,29.021553,747.530911
41.107610,29.023420,41.104457,29.021553,383.664234
41.099250,29.024160,41.104457,29.021553,618.376037
41.107580,29.022000,41.104457,29.021553,348.835542
41.107670,29.023710,41.104457,29.021553,400.179818
41.107900,29.024720,41.104457,29.021553,465.799191
41.101080,29.019830,41.104457,29.021553,402.009211
41.104680,29.019940,41.104457,29.021553,137.716751
41.107600,29.023380,41.104457,29.021553,381.286047
41.104500,29.021050,41.104457,29.021553,42.500043
41.107510,29.019110,41.104457,29.021553,396.291972
41.107600,29.026220,41.104457,29.021553,524.902556
41.107680,29.022210,41.104457,29.021553,362.145176
41.100830,29.020670,41.104457,29.021553,409.589695
41.105830,29.015340,41.104457,29.021553,543.693790
41.103080,29.017430,41.104457,29.021553,378.593643
41.103580,29.017050,41.104457,29.021553,390.588176
41.106670,29.022520,41.104457,29.021553,258.828732
41.106320,29.015690,41.104457,29.021553,534.165271
41.107660,29.022730,41.104457,29.021553,369.181603
41.107600,29.023380,41.104457,29.021553,381.286047
41.107510,29.029150,41.097818,29.017414,1459.591382
41.107150,29.026310,41.104457,29.021553,499.120011
41.107880,29.026860,41.104457,29.021553,585.865728
41.105540,29.026590,41.104457,29.021553,439.891268
41.104710,29.023030,41.104457,29.021553,127.227386
41.105940,29.021410,41.104457,29.021553,165.110996
41.104590,29.016210,41.104457,29.021553,449.045859
41.104540,29.021510,41.104457,29.021553,9.873276
41.105780,29.026560,41.104457,29.021553,445.531235
41.107350,29.022650,41.104457,29.021553,334.223617
41.105540,29.020140,41.104457,29.021553,168.950487
41.107650,29.019560,41.104457,29.021553,392.106717
41.106870,29.027580,41.104457,29.021553,572.828445
41.105780,29.026560,41.104457,29.021553,445.531235
41.099160,29.024490,41.104457,29.021553,637.934813
41.107600,29.023380,41.104457,29.021553,381.286047
41.105120,29.026080,41.104457,29.021553,387.354220
41.104430,29.020590,41.104457,29.021553,80.930679
41.104440,29.016360,41.104457,29.021553,436.207919
41.107820,29.026150,41.104457,29.021553,537.213477
41.107810,29.026110,41.104457,29.021553,534.028382
41.107140,29.029100,41.104457,29.021553,700.492341
41.105720,29.022740,41.104457,29.021553,172.087065
41.107880,29.025080,41.104457,29.021553,481.954789
41.107120,29.017220,41.104457,29.021553,468.949575
41.107230,29.029490,41.104457,29.021553,734.408607
41.107920,29.022300,41.104457,29.021553,389.654469
41.105240,29.026460,41.104457,29.021553,421.283821
41.107100,29.017170,41.104457,29.021553,470.828941
